id,disease,symptoms,herbs_used,precautions,prevention,preparation
489,Gastritis,"diarrhea, dizziness, fatigue, frequent urination, loss of appetite, productive cough","Punarnava, Shatavari","Avoid spicy food, Avoid stress, Ensure adequate sleep","Herbal immune boosters, Regular exercise","Using Punarnava, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
47,Lower Back Pain,"abdominal pain, headache, vomiting","Neem, Shatavari, Turmeric","Avoid spicy food, Avoid stress, Do not overexert","Daily yoga practice, Seasonal immunity support, Stress management","Using Neem, Shatavari, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
3360,Dry Eye Syndrome,"burning sensation, dry cough, frequent urination, shortness of breath","Bibhitaki, Brahmi, Gokshura, Shatavari","Ensure adequate sleep, Maintain hydration","Adequate sleep routine, Daily yoga practice, Seasonal immunity support","Using Bibhitaki, Brahmi, Gokshura, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
4874,Loss of Appetite,"back pain, body ache, dry cough, joint pain, low energy","Arjuna, Pippali, Shatavari, Turmeric","Avoid alcohol, Do not overexert","Balanced diet, Herbal immune boosters","Using Arjuna, Pippali, Shatavari, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4807,Bronchitis,"body ache, insomnia, loss of appetite, low energy, vomiting","Ashwagandha, Manjistha, Neem","Ensure adequate sleep, Light and warm diet","Adequate sleep routine, Herbal immune boosters, Seasonal immunity support","Using Ashwagandha, Manjistha, Neem, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
401,Mild Asthma,"anxiety, dizziness, headache, joint pain, low energy, productive cough","Arjuna, Gokshura, Punarnava","Avoid alcohol, Avoid stress, Maintain hydration","Adequate sleep routine, Seasonal immunity support, Stress management","Using Arjuna, Gokshura, Punarnava, Make a light decoction from the herbs and consume warm, preferably after food."
3991,Peptic Ulcer,"loss of appetite, nausea, shortness of breath","Brahmi, Pippali, Tulsi, Turmeric","Avoid stress, Maintain hydration","Regular exercise, Seasonal immunity support","Using Brahmi, Pippali, Tulsi, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3158,Seasonal Fever,"burning sensation, chest discomfort, diarrhea, productive cough","Amla, Brahmi, Tulsi, Turmeric","Avoid stress, Do not overexert, Light and warm diet","Balanced diet, Seasonal immunity support, Stress management","Using Amla, Brahmi, Tulsi, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
4346,Dehydration,"back pain, headache, shortness of breath, sore throat","Arjuna, Ashwagandha, Haritaki, Tulsi","Avoid alcohol, Avoid stress","Daily yoga practice, Herbal immune boosters, Stress management","Using Arjuna, Ashwagandha, Haritaki, Tulsi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
391,Productive Cough,"body ache, headache, insomnia, itching, joint pain, sore throat","Ginger, Gokshura, Turmeric","Avoid oily food, Avoid stress, Do not overexert","Adequate sleep routine, Herbal immune boosters","Using Ginger, Gokshura, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
3854,Prediabetes,"body ache, loss of appetite, low energy, skin rash","Guduchi, Neem, Punarnava, Tulsi","Avoid alcohol, Do not overexert","Daily yoga practice, Seasonal immunity support","Using Guduchi, Neem, Punarnava, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
4431,Cervical Spondylosis,"dizziness, low energy, productive cough","Amla, Neem","Avoid cold food, Avoid oily food","Adequate sleep routine, Balanced diet, Daily yoga practice","Using Amla, Neem, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
629,Stress-Induced Insomnia,"burning sensation, chest discomfort, constipation, nausea, skin rash","Amla, Manjistha, Tulsi, Turmeric","Avoid cold food, Do not overexert","Daily yoga practice, Regular exercise","Using Amla, Manjistha, Tulsi, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
4233,Loss of Appetite,"anxiety, burning sensation, chest discomfort, constipation, dry cough, muscle pain","Manjistha, Pippali","Do not overexert, Maintain hydration","Adequate sleep routine, Seasonal immunity support","Using Manjistha, Pippali, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2931,Type 2 Diabetes (Early Stage),"anxiety, fatigue, nausea, shortness of breath","Brahmi, Tulsi","Do not overexert, Light and warm diet","Adequate sleep routine, Herbal immune boosters, Seasonal immunity support","Using Brahmi, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
1522,Kidney Stone Disorder,"body ache, constipation, fatigue, muscle pain","Amla, Ginger, Tulsi","Avoid alcohol, Avoid cold food","Seasonal immunity support, Stress management","Using Amla, Ginger, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
827,Irritable Bowel Syndrome,"chest discomfort, frequent urination, insomnia, low energy, skin rash","Arjuna, Ashwagandha, Brahmi","Do not overexert, Maintain hydration","Balanced diet, Daily yoga practice, Seasonal immunity support","Using Arjuna, Ashwagandha, Brahmi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
4823,Dry Cough,"chest discomfort, constipation, diarrhea, frequent urination, sore throat","Ginger, Guduchi, Haritaki, Tulsi","Avoid cold food, Avoid spicy food","Balanced diet, Regular exercise, Stress management","Using Ginger, Guduchi, Haritaki, Tulsi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
1501,Dry Eye Syndrome,"anxiety, fever, insomnia, low energy, skin rash","Arjuna, Haritaki, Pippali, Shatavari","Avoid alcohol, Avoid cold food","Daily yoga practice, Regular exercise, Seasonal immunity support","Using Arjuna, Haritaki, Pippali, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3295,Common Cold,"body ache, constipation, dizziness, insomnia, loss of appetite, sore throat","Guduchi, Haritaki, Shatavari","Avoid cold food, Ensure adequate sleep, Maintain hydration","Balanced diet, Daily yoga practice, Regular exercise","Using Guduchi, Haritaki, Shatavari, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2420,Mild Asthma,"body ache, insomnia, muscle pain","Amla, Shatavari","Avoid alcohol, Avoid cold food, Light and warm diet","Daily yoga practice, Seasonal immunity support, Stress management","Using Amla, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
935,Type 2 Diabetes (Early Stage),"dry cough, fatigue, nausea","Amla, Gokshura, Neem, Tulsi","Avoid alcohol, Avoid spicy food","Daily yoga practice, Herbal immune boosters, Regular exercise","Using Amla, Gokshura, Neem, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
3043,Type 2 Diabetes (Early Stage),"anxiety, burning sensation, fatigue, loss of appetite, skin rash, sore throat","Ashwagandha, Manjistha, Punarnava","Do not overexert, Light and warm diet","Adequate sleep routine, Seasonal immunity support","Using Ashwagandha, Manjistha, Punarnava, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4498,Lower Back Pain,"chest discomfort, dizziness, joint pain, low energy, nausea, productive cough","Brahmi, Punarnava, Tulsi, Turmeric","Avoid cold food, Avoid oily food, Do not overexert","Adequate sleep routine, Balanced diet, Daily yoga practice","Using Brahmi, Punarnava, Tulsi, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1467,Fungal Skin Infection,"abdominal pain, chest discomfort, fever, loss of appetite, sore throat","Manjistha, Punarnava, Shatavari, Turmeric","Avoid cold food, Avoid oily food","Adequate sleep routine, Daily yoga practice, Seasonal immunity support","Using Manjistha, Punarnava, Shatavari, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3562,Cervical Spondylosis,"body ache, burning sensation, chest discomfort, fatigue, headache, shortness of breath","Ginger, Gokshura, Guduchi","Avoid alcohol, Do not overexert, Maintain hydration","Regular exercise, Seasonal immunity support","Using Ginger, Gokshura, Guduchi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
615,Dry Cough,"dizziness, dry cough, frequent urination, insomnia, low energy","Amla, Arjuna, Manjistha, Punarnava","Avoid cold food, Avoid oily food, Maintain hydration","Balanced diet, Daily yoga practice","Using Amla, Arjuna, Manjistha, Punarnava, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1183,Irritable Bowel Syndrome,"constipation, dry cough, fever, muscle pain, shortness of breath, skin rash","Ashwagandha, Punarnava, Shatavari, Turmeric","Avoid spicy food, Avoid stress","Daily yoga practice, Herbal immune boosters, Seasonal immunity support","Using Ashwagandha, Punarnava, Shatavari, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3224,Fungal Skin Infection,"muscle pain, skin rash, vomiting","Ashwagandha, Bibhitaki, Turmeric","Avoid cold food, Light and warm diet, Maintain hydration","Adequate sleep routine, Daily yoga practice","Using Ashwagandha, Bibhitaki, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2668,Tinnitus (Early Stage),"dry cough, headache, itching, joint pain, shortness of breath, sore throat","Amla, Arjuna, Neem, Tulsi","Avoid alcohol, Avoid stress","Daily yoga practice, Herbal immune boosters, Stress management","Using Amla, Arjuna, Neem, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
131,Bronchitis,"chest discomfort, frequent urination, joint pain, shortness of breath, sore throat","Ginger, Gokshura, Haritaki, Neem","Ensure adequate sleep, Maintain hydration","Adequate sleep routine, Herbal immune boosters, Seasonal immunity support","Using Ginger, Gokshura, Haritaki, Neem, Make a light decoction from the herbs and consume warm, preferably after food."
2984,Sleep Disturbance Disorder,"back pain, fever, loss of appetite, shortness of breath","Arjuna, Manjistha, Shatavari","Ensure adequate sleep, Light and warm diet, Maintain hydration","Balanced diet, Herbal immune boosters, Stress management","Using Arjuna, Manjistha, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4279,Tension Headache,"anxiety, body ache, fatigue","Arjuna, Ginger, Manjistha, Pippali","Avoid alcohol, Light and warm diet","Adequate sleep routine, Daily yoga practice, Regular exercise","Using Arjuna, Ginger, Manjistha, Pippali, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4460,Eye Irritation,"dizziness, muscle pain, skin rash","Arjuna, Bibhitaki, Gokshura","Avoid alcohol, Do not overexert, Maintain hydration","Daily yoga practice, Stress management","Using Arjuna, Bibhitaki, Gokshura, Make a light decoction from the herbs and consume warm, preferably after food."
39,Acid Reflux,"diarrhea, dry cough, loss of appetite","Gokshura, Haritaki","Ensure adequate sleep, Light and warm diet, Maintain hydration","Balanced diet, Daily yoga practice, Stress management","Using Gokshura, Haritaki, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3960,Productive Cough,"body ache, burning sensation, chest discomfort, headache, muscle pain","Arjuna, Brahmi, Gokshura, Haritaki","Avoid alcohol, Avoid cold food, Ensure adequate sleep","Daily yoga practice, Herbal immune boosters, Regular exercise","Using Arjuna, Brahmi, Gokshura, Haritaki, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3588,Early Hypotension,"frequent urination, itching, nausea, vomiting","Gokshura, Pippali, Shatavari","Avoid alcohol, Avoid cold food","Daily yoga practice, Regular exercise, Seasonal immunity support","Using Gokshura, Pippali, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
921,Lower Back Pain,"constipation, insomnia, shortness of breath","Ashwagandha, Turmeric","Avoid oily food, Avoid stress, Maintain hydration","Adequate sleep routine, Balanced diet, Seasonal immunity support","Using Ashwagandha, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2770,Anxiety Disorder (Mild),"dry cough, joint pain, loss of appetite, nausea, shortness of breath, sore throat","Haritaki, Punarnava, Tulsi","Avoid cold food, Avoid oily food","Adequate sleep routine, Herbal immune boosters, Seasonal immunity support","Using Haritaki, Punarnava, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
4112,Anemia,"back pain, fatigue, insomnia, shortness of breath","Ashwagandha, Neem, Shatavari","Avoid alcohol, Avoid spicy food","Daily yoga practice, Regular exercise, Seasonal immunity support","Using Ashwagandha, Neem, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
